tmdb_film_id,iso_639_1,,,
12474,es,,,
12477,fr,,,
12477,ja,,,
12480,de,,,
12480,fr,,,
12491,it,,,
12496,ja,,,
12509,en,,,
12517,fr,,,
12524,en,,,
12524,la,,,
12527,es,,,
12544,it,,,
12548,es,,,
12548,it,,,
12572,en,,,
12573,en,,,
12573,he,,,
12573,yi,,,
12593,en,,,
12659,zh,,,
12677,en,,,
12677,es,,,
12698,en,,,
12706,en,,,
12777,en,,,
12783,en,,,
12798,it,,,
12800,it,,,
12802,en,,,
12806,ca,,,
12806,en,,,
12806,es,,,
12812,fr,,,
12877,en,,,
13003,en,,,
13005,en,,,
13007,ar,,,
13007,en,,,
13007,es,,,
13007,fa,,,
13007,he,,,
13020,en,,,
13023,en,,,
13041,es,,,
13068,en,,,
13073,en,,,
13073,he,,,
13075,en,,,
13090,en,,,
13090,es,,,
13120,en,,,
13132,en,,,
13188,en,,,
13193,en,,,
13206,en,,,
13210,en,,,
13222,en,,,
13241,en,,,
13245,iu,,,
13251,en,,,
13282,en,,,
13310,sv,,,
13317,es,,,
13320,en,,,
13342,en,,,
13348,de,,,
13348,en,,,
13368,en,,,
13368,pt,,,
13370,en,,,
13373,en,,,
13384,en,,,
13384,ru,,,
13385,en,,,
13432,de,,,
13433,en,,,
13433,ja,,,
13438,fa,,,
13438,ku,,,
13441,de,,,
13441,en,,,
13446,en,,,
13468,en,,,
13495,es,,,
13508,en,,,
13581,en,,,
13581,fr,,,
13597,en,,,
13614,de,,,
13614,pl,,,
13614,ru,,,
13616,en,,,
13616,hu,,,
13616,ru,,,
13635,ar,,,
13635,en,,,
13635,es,,,
13635,fr,,,
13653,es,,,
13670,en,,,
13672,en,,,
13672,fr,,,
13764,en,,,
13785,en,,,
13787,en,,,
13807,zh,,,
13820,en,,,
13855,ko,,,
13855,pl,,,
13885,en,,,
13898,fa,,,
13934,en,,,
13934,fr,,,
13963,en,,,
13998,en,,,
13998,it,,,
14002,en,,,
14016,zh,,,
14048,en,,,
14048,fr,,,
14061,en,,,
14061,ru,,,
14064,en,,,
14070,hi,,,
14086,it,,,
14087,ja,,,
14113,en,,,
14113,es,,,
14113,it,,,
14117,en,,,
14139,es,,,
14173,da,,,
14201,en,,,
14242,en,,,
14243,en,,,
14268,en,,,
14271,en,,,
14273,en,,,
14284,en,,,
14295,en,,,
14298,en,,,
14320,en,,,
14337,en,,,
14358,en,,,
14358,es,,,
14359,en,,,
14375,hu,,,
14375,it,,,
14392,zh,,,
14392,zh,,,
14394,hi,,,
14412,en,,,
14414,en,,,
14415,de,,,
14415,fr,,,
14415,la,,,
14421,pt,,,
14517,en,,,
14521,bo,,,
14521,fr,,,
14556,es,,,
14556,fr,,,
14585,en,,,
14587,en,,,
14587,hi,,,
14626,fr,,,
14626,it,,,
14626,ru,,,
14629,en,,,
14629,pt,,,
14638,en,,,
14651,fr,,,
14654,fr,,,
14657,es,,,
14657,hu,,,
14703,en,,,
14703,es,,,
