event_id,title,alternative_title,release_year,certificate,languages,duration,country_of_origin,actors,is_live
28328,London River,,2009,12A,"Arabic, English, French",88,"UK, France","Sotigui Kouyate, Francis Magee, Brenda Blethyn",0
28341,The Concert,Le Concert,2009,15,"French, Russian",120,"Romania, Italy, France, Belgium","Melanie Laurent, François Berleand, Dimitri Nazarov, Aleksei Guskov",0
28349,Leaving,,2009,15,French,85,France,"Yvan Attal, Sergi Lopez, Kristin Scott Thomas",0
28353,Ajami,,2009,15,Arabic,125,"Israel, Germany","Nisrine Rihan, Fouad Habash, Elias Saba",0
28356,Rashômon,,1950,12A,Japanese,87,Japan,"Toshiro Mifune, Takashi Shimura, Machiko Kyo",0
28369,Gainsbourg,Vie héroïque,2009,15,French,122,France,"Lucy Gordon, Laetitia Casta, Eric Elmosnino",0
28378,Les Demoiselles de Rochefort,The Young Girls of Rochefort,1967,PG,French,126,France,"Gene Kelly, Françoise Dorléac, Catherine Deneuve",0
28384,Letter from an Unknown Woman,,1948,PG,English,90,US,"Mady Christians, Louis Jourdan, Joan Fontaine",0
28391,Good Hair,,2009,12A,English,95,US,,0
28403,Ivul,,2009,15,French,100,France,"Jean-Luc Bideau, Jacob Auzanneau, Aurélia Petit",0
28410,South of the Border,,2009,15,"English, Portugese, Spanish",78,US,,0
28417,Coco Chanel & Igor Stravinsky,,2009,15,French,118,France,"Mads Mikkelsen, Anna Mouglalis",0
28420,Undertow,Contracorriente,2009,15,Spanish,100,"Peru, Columbia","Tatiana Astengo, Manolo Cardona, Cristian Mercado",0
28424,Tetro,,2009,15,"English, French, Spanish",127,"US, Spain, Italy, Argentina","Vincent Gallo, Maribel Verdú, Carmen Maura",0
28428,Le Refuge,,2009,15,French,88,France,"Pierre Louis-Calixte, Melvil Poupaud, Louis-Ronan Choisy, Isabelle Carré",0
28438,The Illusionist,L’Illusionniste,2010,PG,,90,"Great Britain, France",,0
28446,The Girl Who Played With Fire,Flickan som lekte med elden,2009,15,"French, Italian, Swedish",129,"Sweden, Denmark","Noomi Rapace, Michael Nyqvist",0
28454,Sammy Going South,,1963,PG,English,115,Great Britain,"Harry H. Corbett, Fergus McClelland, Edward G. Robinson, Constance Cummings",0
28468,Easy Rider,,1969,18,English,95,US,"Peter Fonda, Karen Black, Jack Nicholson, Dennis Hopper",0
28470,The Fish Child,El niño pez,2009,15,Spanish,96,"Spain, Argentina","Pep Munné, Mariela Vitale, Inés Efron",0
28474,And Then Came Lola,,2009,15,English,70,US,"Jill Bennett, Cathy DeBuono, Ashleigh Sumner",0
28478,Give Me Your Hand,Donne-moi la main,2008,15,French,80,France,"Victor Carrill, Anaïs Demoustier, Alexandre Carrill",0
28480,Children of God,,2009,15,English,103,Bahamas,"Stephen Tyrone Williams, Margaret Laurena Kemp, Johnny Ferro",0
28484,Oscar Nominated Shorts 2010/ Animation,,2009,15,,97,"Spain, Ireland, Great Britain, France",,0
28492,Shed Your Tears and Walk Away,,2009,15,English,88,Great Britain,,0
28499,Baarìa,,2009,15,Italian,150,Italy,"Margareth Madè, Francesco Scianna",0
28513,The Secret in Their Eyes,El secreto de sus ojos,2009,18,Spanish,129,"Spain, Argentina","Soledad Villamil, Ricardo Darin, Pablo Rago, Javier Godino",0
28517,Tamara Drewe,,2010,15,English,111,Great Britain,"Tamsin Greig, Roger Allam, Gemma Arterton, Dominic Cooper",0
28529,"My Son, My Son, What Have Ye Done?",,2009,15,English,90,"US, Germany","Willem Dafoe, Udo Kier, Michael Shannon, Chloë Sevigny",0
28535,Winter’s Bone,,2010,15,English,100,US,"Kevin Breznahan, John Hawkes, Jennifer Lawrence, Dale Dickey",0
28542,Certified Copy,Copie conforme,2010,12A,"English, French, Italian",106,"Italy, France","William Shimell, Juliette Binoche, Adrian Moore",0
28555,Enter the Void,,2009,18,"English, Japanese",143,France,"Paz de la Huerta, Nathaniel Brown, Emily Alyn Lind, Cyril Roy",0
28570,The Rum Diary,,2010,,"English, Spanish",,US,"Johnny Depp, Giovanni Ribisi, Amber Heard, Aaron Eckhart",0
28573,Pandora and the Flying Dutchman,,1951,PG,English,126,Great Britain,"Nigel Patrick, James Mason, Ava Gardner",0
28577,Went the Day Well?,,1942,PG,English,93,Great Britain,"Leslie Banks, Frank Lawton, Elizabeth Allan",0
28583,Woman on the Beach,Haebyeon ui Yeoin,2006,18,Korean,126,Korea,"Ko Hyunjung, Kim Taewoo, Kim Seungwoo",0
28589,The Human Centipede,First Sequence,2009,18,"English, German, Japanese",90,Netherlands,"Dieter Laser, Ashlynn Yennie, Ashley C. Williams, Akihiro Kitamura",0
28594,Self Made,,2010,15,English,88,Great Britain,,0
28597,Pepperminta,,2009,15,German,80,"Switzerland, Austria","Sven Pippig, Sabine Timoteo, Ewelina Guzik, Elisabeth Orth",0
28605,Caterpillar,,2010,18,Japanese,85,Japan,"Shinobu Terajima, Shima Ohnishi, Ken Yoshizawa, Keigo Kasuya",0
28609,I Killed My Mother,J’ai tué ma mère,2009,15,French,96,Canada,"Xavier Dolan, Suzanne Clément, François Arnaud, Anne Dorval",0
28615,News from Ideological Antiquity: Marx – Eisenstein – Das Kapital,Nachrichten aus der ideologischen Antike: Marx – Eisenstein – Das Kapital,2008,PG,German,570,Germany,"Oksana Bulgakova, Hans Magnus Enzensberger, Dietmar Dath",0
28617,Life 2.0,,2010,12A,English,100,US,,0
28619,AND Shorts,,,15,,50,Great Britain,,0
28621,CREAM Competition Shorts Programme,,,PG,,52,"Spain, Singapore, Japan, France",,0
28623,Shorts/ Protect Me From What I Want,,,18,,65,,,0
28625,Bade Area,,2005,U,,30,Taiwan,,0
28627,SoulBoy,,2010,15,English,84,Great Britain,"Nichola Burley, Martin Compston, Felicity Jones, Alfie Allen",0
28629,Separado!,,2009,12A,"English, Portugese, Spanish, Welsh",84,"Great Britain, Brazil, Argentina",,0
28632,Mr. Nice,,2010,18,English,121,Great Britain,"Rhys Ifans, Luis Tosar, David Thewlis, Chloë Sevigny",0
28640,Made in Dagenham,,2010,15,English,113,Great Britain,"Sally Hawkins, Rosamund Pike, Miranda Richardson, Jaime Winstone, Bob Hawkins",0
28651,"New York, I Love You",,2009,,English,104,US,"Olivia Thirlby, Natalie Portman, Maggie Q, Julie Christie, Orlando Bloom, Rachel Bilson, U",0
28666,A Town Called Panic,Panique Au Village,2009,PG,French,77,Belgium,,0
28670,The Kids Are All Right,,2009,15,English,106,US,"Mia Wasikowska, Mark Ruffalo, Julianne Moore, Annette Bening",0
